"Name","Version","License"
"Brotli","1.1.0","MIT License"
"Deprecated","1.2.14","MIT License"
"Jinja2","3.1.5","BSD License"
"Markdown","3.7","BSD License"
"MarkupSafe","3.0.2","BSD License"
"PyYAML","6.0.1","MIT License"
"Pygments","2.18.0","BSD License"
"Werkzeug","3.0.6","BSD License"
"absl-py","2.1.0","Apache Software License"
"aiofiles","24.1.0","Apache Software License"
"aiohappyeyeballs","2.6.1","Python Software Foundation License"
"aiohttp","3.14.3","Apache-2.0 AND MIT"
"aiohttp-retry","2.8.3","MIT License"
"aiokafka","0.12.0","Apache Software License"
"aiosignal","1.4.0","Apache Software License"
"annotated-doc","0.0.4","UNKNOWN"
"annotated-types","0.7.0","MIT License"
"anyio","4.6.2.post1","MIT License"
"argcomplete","3.5.1","Apache Software License"
"asgiref","3.8.1","BSD License"
"astunparse","1.6.3","BSD License"
"async-timeout","4.0.3","Apache Software License"
"attrs","23.2.0","MIT License"
"black","24.8.0","MIT License"
"cachetools","5.5.0","MIT License"
"certifi","2024.8.30","Mozilla Public License 2.0 (MPL 2.0)"
"chardet","5.2.0","GNU Lesser General Public License v2 or later (LGPLv2+)"
"charset-normalizer","3.4.0","MIT License"
"click","8.1.7","BSD License"
"colorama","0.4.6","BSD License"
"coloredlogs","15.0.1","MIT License"
"conda-pack","0.7.1","BSD License"
"datamodel-code-generator","0.56.0","MIT License"
"decopatch","1.4.10","BSD License"
"distlib","0.3.9","Python Software Foundation License"
"docker","7.1.0","Apache Software License"
"execnet","2.1.1","MIT License"
"fastapi","0.136.3","UNKNOWN"
"filelock","3.16.1","The Unlicense (Unlicense)"
"flake8","7.0.0","MIT License"
"flake8-black","0.3.6","MIT License"
"flatbuffers","24.3.25","Apache Software License"
"frozenlist","1.5.0","Apache Software License"
"gast","0.6.0","BSD License"
"genson","1.3.0","MIT License"
"gevent","24.11.1","MIT License"
"geventhttpclient","2.3.7","UNKNOWN"
"google-pasta","0.2.0","Apache Software License"
"googleapis-common-protos","1.65.0","Apache Software License"
"greenlet","3.1.1","MIT License"
"grpcio","1.67.1","Apache Software License"
"grpcio-tools","1.67.1","Apache Software License"
"h11","0.14.0","MIT License"
"h5py","3.12.1","BSD License"
"httpcore","1.0.6","BSD License"
"httpx","0.27.0","BSD License"
"httpx-sse","0.4.0","MIT"
"humanfriendly","10.0","MIT License"
"idna","3.10","BSD License"
"importlib_metadata","8.5.0","Apache Software License"
"inflect","5.6.2","MIT License"
"iniconfig","2.0.0","MIT License"
"isort","5.13.2","MIT License"
"joblib","1.4.2","BSD License"
"kafka-python-ng","2.2.3","Apache Software License"
"keras","3.9.0","Apache License 2.0"
"libclang","18.1.1","Apache Software License"
"lightgbm","4.6.0","MIT License"
"makefun","1.15.6","BSD License"
"markdown-it-py","3.0.0","MIT License"
"mccabe","0.7.0","MIT License"
"mdurl","0.1.2","MIT License"
"ml_dtypes","0.5.4","UNKNOWN"
"mlserver","1.7.0.dev0","Apache Software License"
"mlserver-lightgbm","1.7.0.dev0","Apache Software License"
"mlserver-onnx","1.7.0.dev0","Apache Software License"
"mlserver-sklearn","1.7.0.dev0","Apache Software License"
"mlserver-xgboost","1.7.0.dev0","Apache Software License"
"mpmath","1.3.0","BSD License"
"multidict","6.1.0","Apache Software License"
"mypy","1.11.2","MIT License"
"mypy-extensions","1.0.0","MIT License"
"mypy-protobuf","3.6.0","Apache License 2.0"
"namex","0.0.8","UNKNOWN"
"numpy","1.26.4","BSD License"
"nvidia-nccl-cu12","2.20.5","Other/Proprietary License"
"onnx","1.21.0","UNKNOWN"
"onnxruntime","1.23.2","MIT License"
"opentelemetry-api","1.28.0","Apache Software License"
"opentelemetry-exporter-otlp-proto-common","1.28.0","Apache Software License"
"opentelemetry-exporter-otlp-proto-grpc","1.28.0","Apache Software License"
"opentelemetry-instrumentation","0.49b0","Apache Software License"
"opentelemetry-instrumentation-asgi","0.49b0","Apache Software License"
"opentelemetry-instrumentation-fastapi","0.49b0","Apache Software License"
"opentelemetry-instrumentation-grpc","0.49b0","Apache Software License"
